fsq_category_id,cluster_id
Pet Grooming Service,92
Pet Service,92
Pet Sitting and Boarding Service,92
Pet Supplies Store,92
Veterinarian,92
Physical Therapy Clinic,100
Rehabilitation Center,100
Sports Medicine Clinic,100
Picnic Area,14
Picnic Shelter,14
Pier,45
Waterfront,45
Plastics Supplier,63
Rubber Supplier,63
Polish Restaurant,221
Silesian Restaurant,221
Tatar Restaurant,221
Poutine Restaurant,204
Russian Restaurant,204
Power Plant,4
Renewable Energy Service,4
Prayer Room,20
Spiritual Center,20
Psychiatrist,112
Psychologist,112
Public Transportation,111
Transportation Service,111
Public and Social Service,54
Senior Citizen Service,54
Social Services Organization,54
Puerto Rican Restaurant,216
Salvadoran Restaurant,216
Racquet Sport Club,143
Racquet Sports,143
Racquetball Club,143
Radio Station,26
TV Station,26
Rafting Outfitter,44
Rafting Spot,44
Recycling Facility,6
Waste Management Service,6
Roller Rink,47
Skating,47
Skating Rink,47
Roof Deck,48
Rooftop Bar,48
Rugby,137
Rugby Pitch,137
Shaanxi Restaurant,208
Shabu-Shabu Restaurant,208
Shoe Repair Service,81
Shoe Store,81
Skate Park,46
Skate Store,46
Skydiving Center,2
Skydiving Drop Zone,2
Soccer Store,125
Sporting Goods Retail,125
Software Company,10
Utility Company,10
South American Restaurant,207
Southern Food Restaurant,207
Sukiyaki Restaurant,212
Yakitori Restaurant,212
Yoshoku Restaurant,212
Surf Spot,65
Surf Store,65
Surfing,65
Swimming,101
Swimming Club,101
Swimming Pool,101
Swimming Pool Maintenance and Service,101
Swimming Pool Supply Store,102
Swimwear Store,102
Takoyaki Place,156
Wagashi Place,156
Taxi,3
Taxi Stand,3
Tech Startup,79
Technology Business,79
Telecommunication Service,40
Transmissions Shop,40
Tennis Club,144
Tennis Stadium,144
Toll Booth,30
Toll Plaza,30
Tour Provider,78
Tourist Information and Service,78
Ukrainian Restaurant,228
West-Ukrainian Restaurant,228
Video Games Store,53
Video Store,53
Warehouse,138
Warehouse or Wholesale Store,138
Zoo,70
Zoo Exhibit,70
AIDS Resource,235
ATM,236
Acai House,237
Accounting and Bookkeeping Service,238
Acehnese Restaurant,239
Acupuncture Clinic,240
Adult Store,241
African Restaurant,242
Airport Gate,243
Airport Lounge,244
Airport Ticket Counter,245
Amphitheater,246
Andhra Restaurant,247
Anhui Restaurant,248
Animal Shelter,249
Apartment or Condo,250
Apple Wine Pub,251
Appraiser,252
Aquarium,253
Arcade,254
Architecture Firm,255
Arepa Restaurant,256
Argentinian Restaurant,257
Art Restoration Service,258
Art School,259
Arts and Crafts Store,260
Arts and Entertainment,261
Ash and Haleem Place,262
Asian Restaurant,263
Attraction,264
Auction House,265
Audiovisual Service,266
Australian Restaurant,267
Automation and Control System,268
Automotive Service,269
Awadhi Restaurant,270
Baby Store,271
Bagel Shop,272
Baiano Restaurant,273
Bakery,274
Balinese Restaurant,275
Baseball Store,276
Basilicata Restaurant,277
Batik Store,278
Batting Cages,279
Bay,280
Beach Bar,281
Belarusian Restaurant,282
Big Box Store,283
Bike Trail,284
Blini House,285
Blood Bank,286
Board Store,287
Boarding House,288
Boat Launch,289
Body Piercing Shop,290
Border Crossing,291
Borek Place,292
Bossam/Jokbal Restaurant,293
Bougatsa Shop,294
Boxing Gym,295
Brasserie,296
Breton Restaurant,297
Brewery,298
Bridal Store,299
Bridge,300
Bubble Tea Shop,301
Buffet,302
Building and Land Surveyor,303
Burgundian Restaurant,304
Burrito Restaurant,305
Business Center,306
Butcher,307
Cable Car,308
"Cafe, Coffee, and Tea House",309
Café,310
Cajun and Creole Restaurant,311
Calabria Restaurant,312
Campanian Restaurant,313
Candy Store,314
Capitol Building,315
Car Parts and Accessories,316
Car Wash and Detail,317
Cardiologist,318
Career Counselor,319
Caribbean Restaurant,320
Carpenter,321
Carpet Store,322
Carpet and Flooring Contractor,323
Caucasian Restaurant,324
Cave,325
Ch'ti Restaurant,326
Cha Chaan Teng,327
Chaat Place,328
Charity,329
Charter Bus,330
Check Cashing Service,331
Cheese Store,332
Chemicals and Gasses Manufacturer,333
Chettinad Restaurant,334
Child Care Service,335
Children's Hospital,336
Chimney Sweep,337
Chinese Aristocrat Restaurant,338
Chinese Breakfast Restaurant,339
Chiropractor,340
Christmas Market,341
Churrascaria,342
Cidery,343
Climbing Gym,344
Coffee Roaster,345
Collections Service,346
College Baseball Diamond,347
College Classroom,348
College Math Building,349
College Quad,350
College Theater,351
Comedy Club,352
Comfort Food Restaurant,353
Comic Book Store,354
Community Center,355
Computer Training School,356
Concert Hall,357
Construction Supplies Store,358
Corporate Amenity,359
Country,360
County,361
Coworking Space,362
Creative Service,363
Credit Union,364
Cruise,365
Cuban Restaurant,366
Culinary School,367
Cultural Center,368
Curling Ice,369
Currency Exchange,370
Cycle Studio,371
Dairy Store,372
Daycare,373
Deck and Patio Contractor,374
Dhaba,375
Dim Sum Restaurant,376
Direct Mail and Email Marketing Service,377
Disabled Persons Service,378
Distillery,379
Distribution Center,380
Dog Park,381
Donburi Restaurant,382
Doner Restaurant,383
Dongbei Restaurant,384
Donut Shop,385
Dosa Place,386
Drive-in Theater,387
Driving School,388
Dump,389
Dumpling Restaurant,390
Dutch Restaurant,391
Duty-free Store,392
"Ear, Nose and Throat Doctor",393
Egyptian Restaurant,394
Electric Vehicle Charging Station,395
Embassy or Consulate,396
Emilia Restaurant,397
Empanada Restaurant,398
Employment Agency,399
English Restaurant,400
Environmental Organization,401
Equestrian Facility,402
Erotic Museum,403
Escape Room,404
Ethiopian Restaurant,405
Falafel Restaurant,406
Fence Contractor,407
Field,408
Filipino Restaurant,409
Film Studio,410
Financial Planner,411
Financial Service,412
Fire Station,413
Fireworks Store,414
Fish and Chips Shop,415
Flea Market,416
Flight School,417
Floating Market,418
Flower Store,419
Food Truck,420
Football Club,421
Framing Store,422
Friuli Restaurant,423
Fruit and Vegetable Store,424
Fuel Station,425
Fujian Restaurant,426
Gastroenterologist,427
Gay Bar,428
Gelato Shop,429
Geological Service,430
Geriatric Doctor,431
Gilaki Restaurant,432
Gluten-Free Restaurant,433
Goan Restaurant,434
Goiano Restaurant,435
Golf Driving Range,436
Government Building,437
Guizhou Restaurant,438
Gujarati Restaurant,439
Gukbap Restaurant,440
Hainan Restaurant,441
Hakka Restaurant,442
Halal Restaurant,443
Hawaiian Restaurant,444
Health and Beauty Service,445
Health and Medicine,446
"Heating, Ventilating and Air Conditioning Contractor",447
Heliport,448
