fsq_category_id,cluster_id
4bf58dd8d48988d103951765,547
4bf58dd8d48988d103951766,547
4bf58dd8d48988d103951768,547
4bf58dd8d48988d103951770,547
4bf58dd8d48988d103951772,547
4bf58dd8d48988d103951773,547
4bf58dd8d48988d103951774,547
4bf58dd8d48988d103951777,547
4bf58dd8d48988d103951780,547
4bf58dd8d48988d103951782,547
4bf58dd8d48988d103951786,547
4bf58dd8d48988d103951787,547
4bf58dd8d48988d103951788,547
4bf58dd8d48988d103951789,547
4bf58dd8d48988d103951790,547
4bf58dd8d48988d103951791,547
4bf58dd8d48988d103951793,547
4bf58dd8d48988d103951794,547
4bf58dd8d48988d104941735,179
4bf58dd8d48988d104951735,200
4bf58dd8d48988d105941735,98
4bf58dd8d48988d105951735,202
4bf58dd8d48988d106941735,61
4bf58dd8d48988d106951735,530
4bf58dd8d48988d107941735,257
4bf58dd8d48988d107951735,81
4bf58dd8d48988d108941735,390
4bf58dd8d48988d108951735,732
4bf58dd8d48988d109941735,209
4bf58dd8d48988d109951735,201
4bf58dd8d48988d10a941735,405
4bf58dd8d48988d10a951735,82
4bf58dd8d48988d10b941735,406
4bf58dd8d48988d10b951735,53
4bf58dd8d48988d10c941735,210
4bf58dd8d48988d10c951735,178
4bf58dd8d48988d10d941735,223
4bf58dd8d48988d10d951735,612
4bf58dd8d48988d10e941735,189
4bf58dd8d48988d10e951735,160
4bf58dd8d48988d10f941735,226
4bf58dd8d48988d10f951735,96
4bf58dd8d48988d110941735,220
4bf58dd8d48988d110951735,16
4bf58dd8d48988d111941735,229
4bf58dd8d48988d111951735,483
4bf58dd8d48988d112941735,484
4bf58dd8d48988d112951735,80
4bf58dd8d48988d113941735,493
4bf58dd8d48988d113951731,547
4bf58dd8d48988d113951732,547
4bf58dd8d48988d113951735,425
4bf58dd8d48988d113951736,547
4bf58dd8d48988d113951737,547
4bf58dd8d48988d113951738,547
4bf58dd8d48988d113951739,547
4bf58dd8d48988d113951744,547
4bf58dd8d48988d113951748,547
4bf58dd8d48988d113951755,547
4bf58dd8d48988d113951756,547
4bf58dd8d48988d113951760,547
4bf58dd8d48988d113951763,547
4bf58dd8d48988d114941735,547
4bf58dd8d48988d114951735,152
4bf58dd8d48988d115941735,533
4bf58dd8d48988d115951735,31
4bf58dd8d48988d116941735,197
4bf58dd8d48988d116951735,199
4bf58dd8d48988d117941735,149
4bf58dd8d48988d117951735,314
4bf58dd8d48988d118941735,114
4bf58dd8d48988d118951735,194
4bf58dd8d48988d118951740,547
4bf58dd8d48988d118951741,547
4bf58dd8d48988d119941735,197
4bf58dd8d48988d119951735,190
4bf58dd8d48988d11a951735,299
4bf58dd8d48988d11b941735,164
4bf58dd8d48988d11b951735,419
4bf58dd8d48988d11c941735,197
4bf58dd8d48988d11d941735,657
4bf58dd8d48988d11d951735,307
4bf58dd8d48988d11e941735,198
4bf58dd8d48988d11e951735,332
4bf58dd8d48988d11f941735,104
4bf58dd8d48988d11f951735,547
4bf58dd8d48988d120941735,29
4bf58dd8d48988d120951735,86
4bf58dd8d48988d121941735,507
4bf58dd8d48988d121951735,561
4bf58dd8d48988d122941735,190
4bf58dd8d48988d122951735,80
4bf58dd8d48988d123941735,190
4bf58dd8d48988d123951735,83
4bf58dd8d48988d124941735,177
4bf58dd8d48988d124951735,182
4bf58dd8d48988d125941735,79
4bf58dd8d48988d126941735,437
4bf58dd8d48988d126951735,53
4bf58dd8d48988d127941735,72
4bf58dd8d48988d127951735,260
4bf58dd8d48988d128941735,97
4bf58dd8d48988d128951735,200
4bf58dd8d48988d129941735,95
4bf58dd8d48988d129951735,118
4bf58dd8d48988d12a941735,315
4bf58dd8d48988d12a951735,697
4bf58dd8d48988d12b941735,85
4bf58dd8d48988d12b951735,113
4bf58dd8d48988d12c941735,413
4bf58dd8d48988d12c951735,396
4bf58dd8d48988d12d941735,123
4bf58dd8d48988d12d951735,42
4bf58dd8d48988d12e941735,596
4bf58dd8d48988d12e951735,547
4bf58dd8d48988d12f941735,152
4bf58dd8d48988d12f951735,616
4bf58dd8d48988d130941735,666
4bf58dd8d48988d130951735,3
4bf58dd8d48988d131941735,20
4bf58dd8d48988d131951735,547
4bf58dd8d48988d132941735,25
4bf58dd8d48988d132951735,148
4bf58dd8d48988d133941735,547
4bf58dd8d48988d133951735,48
4bf58dd8d48988d134941735,56
4bf58dd8d48988d135941735,170
4bf58dd8d48988d136941735,565
4bf58dd8d48988d137941735,169
4bf58dd8d48988d138941735,540
4bf58dd8d48988d139941735,673
4bf58dd8d48988d13a941735,38
4bf58dd8d48988d13b941735,115
4bf58dd8d48988d13d941735,116
4bf58dd8d48988d141941735,214
4bf58dd8d48988d142941735,263
4bf58dd8d48988d143941735,8
4bf58dd8d48988d144941735,320
4bf58dd8d48988d145941735,234
4bf58dd8d48988d146941735,213
4bf58dd8d48988d147941735,121
4bf58dd8d48988d148941735,385
4bf58dd8d48988d149941735,689
4bf58dd8d48988d14a941735,716
4bf58dd8d48988d14b941735,729
4bf58dd8d48988d14c941735,730
4bf58dd8d48988d14d941735,571
4bf58dd8d48988d14e941735,185
4bf58dd8d48988d14f941735,207
4bf58dd8d48988d150941735,217
4bf58dd8d48988d151941735,675
4bf58dd8d48988d152941735,256
4bf58dd8d48988d153941735,305
4bf58dd8d48988d154941735,366
4bf58dd8d48988d155941735,213
4bf58dd8d48988d156941735,513
4bf58dd8d48988d157941735,185
4bf58dd8d48988d158941735,672
4bf58dd8d48988d159941735,450
4bf58dd8d48988d15a941735,165
4bf58dd8d48988d15b941735,128
4bf58dd8d48988d15c941735,123
4bf58dd8d48988d15d941735,501
4bf58dd8d48988d15e941735,101
4bf58dd8d48988d15f941735,408
4bf58dd8d48988d160941735,460
4bf58dd8d48988d161941735,51
4bf58dd8d48988d162941735,119
4bf58dd8d48988d163941735,77
4bf58dd8d48988d164941735,157
4bf58dd8d48988d165941735,637
4bf58dd8d48988d166941735,64
4bf58dd8d48988d167941735,46
4bf58dd8d48988d168941735,47
4bf58dd8d48988d169941735,267
4bf58dd8d48988d16a941735,274
4bf58dd8d48988d16b941735,218
4bf58dd8d48988d16c941735,18
4bf58dd8d48988d16d941735,310
4bf58dd8d48988d16e941735,168
4bf58dd8d48988d16e941736,547
4bf58dd8d48988d16e941737,547
4bf58dd8d48988d16e941738,547
4bf58dd8d48988d16e941739,547
4bf58dd8d48988d16e941740,547
4bf58dd8d48988d16e941741,547
4bf58dd8d48988d16e941742,547
4bf58dd8d48988d16e941743,547
4bf58dd8d48988d16e941744,547
4bf58dd8d48988d16f941735,459
4bf58dd8d48988d171941735,133
4bf58dd8d48988d172941735,600
4bf58dd8d48988d173941735,167
4bf58dd8d48988d174941735,362
4bf58dd8d48988d175941735,98
4bf58dd8d48988d176941735,98
4bf58dd8d48988d177941735,171
4bf58dd8d48988d178941735,153
4bf58dd8d48988d179941735,272
4bf58dd8d48988d17a941735,311
4bf58dd8d48988d17b941735,70
4bf58dd8d48988d17c941735,17
4bf58dd8d48988d17e941735,170
4bf58dd8d48988d17f941735,169
4bf58dd8d48988d180941735,545
4bf58dd8d48988d181941735,205
4bf58dd8d48988d182941735,32
4bf58dd8d48988d183941735,547
4bf58dd8d48988d184941735,146
4bf58dd8d48988d185941735,89
4bf58dd8d48988d186941735,196
4bf58dd8d48988d187941735,696
4bf58dd8d48988d188941735,146
4bf58dd8d48988d189941735,146
4bf58dd8d48988d18a941735,66
4bf58dd8d48988d18b941735,76
4bf58dd8d48988d18c941735,139
4bf58dd8d48988d18d941735,27
4bf58dd8d48988d18e941735,352
4bf58dd8d48988d18f941735,205
4bf58dd8d48988d190941735,205
4bf58dd8d48988d191941735,639
4bf58dd8d48988d192941735,12
4bf58dd8d48988d193941735,77
4bf58dd8d48988d194941735,58
4bf58dd8d48988d196941735,180
4bf58dd8d48988d197941735,193
4bf58dd8d48988d198941735,193
4bf58dd8d48988d199941735,193
4bf58dd8d48988d19a941735,193
4bf58dd8d48988d19b941735,193
4bf58dd8d48988d19c941735,349
4bf58dd8d48988d19d941735,193
4bf58dd8d48988d19e941735,193
4bf58dd8d48988d19f941735,193
4bf58dd8d48988d1a0941735,348
4bf58dd8d48988d1a1941735,97
4bf58dd8d48988d1a2941735,191
4bf58dd8d48988d1a3941735,193
4bf58dd8d48988d1a5941735,195
4bf58dd8d48988d1a6941735,183
4bf58dd8d48988d1a7941735,152
4bf58dd8d48988d1a8941735,192
4bf58dd8d48988d1a9941735,191
4bf58dd8d48988d1aa941735,350
